Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Ash Barrens,40k,Near Mint,English,,,2025-02-22 04:38:11.193000,265,False,False,
1,1,Bloodthirster,40k,Near Mint,English,,,2025-04-21 01:44:27.003000,73,False,False,
1,1,Decree of Pain,40k,Near Mint,English,,,2025-01-11 03:07:52.093000,198,False,False,
1,1,Plague Drone,40k,Near Mint,English,,,2025-02-04 20:08:09.137000,47,False,False,
1,1,The Ruinous Powers,40k,Near Mint,English,,,2025-01-08 21:49:55.733000,139,False,False,0.44
