Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Dire Fleet Interloper,xln,Near Mint,English,,,2025-03-06 21:21:46.223000,103,False,False,
1,1,"Legion's Landing // Adanto, the First Fort",xln,Near Mint,English,,,2025-03-12 21:36:59.153000,22,False,False,
1,1,"Mavren Fein, Dusk Apostle",xln,Near Mint,English,,,2025-03-02 19:29:19.903000,24,False,False,
1,1,Stone Quarry,xln,Near Mint,English,,,2025-03-05 02:46:07.863000,289,False,False,
1,1,Vanquish the Weak,xln,Near Mint,English,,,2025-03-06 21:21:31.990000,127,False,False,
