Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Archpriest of Shadows,mom,Near Mint,English,,,2025-01-08 21:49:55.733000,356,False,False,0.86
1,1,Cut Short,mom,Near Mint,English,,,2025-03-06 19:19:48.687000,10,False,False,
1,1,Drana and Linvala,mom,Near Mint,English,,,2025-04-21 01:59:50.670000,222,False,False,
1,1,Drana and Linvala,mom,Near Mint,English,foil,,2025-02-24 02:17:04.487000,222,False,False,
1,1,Infected Defector,mom,Near Mint,English,,,2025-03-06 19:19:13.933000,18,False,False,
1,1,Protocol Knight,mom,Near Mint,English,,,2025-03-07 19:58:27.217000,74,False,False,
1,1,Serpent-Blade Assailant,mom,Near Mint,English,,,2025-03-06 19:29:14.273000,205,False,False,
1,1,War-Trained Slasher,mom,Near Mint,English,,,2025-03-07 19:58:51.970000,172,False,False,
