Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Anguished Unmaking,2x2,Near Mint,English,,,2025-01-09 22:32:28.763000,170,False,False,
1,1,Kolaghan's Command,2x2,Near Mint,English,,,2025-02-03 04:05:03.670000,381,False,False,
1,1,Lightning Bolt,2x2,Near Mint,English,,,2025-01-29 02:58:31.633000,117,False,False,
1,1,Magister Sphinx,2x2,Near Mint,English,,,2025-01-09 22:32:49.373000,247,False,False,
1,1,Master of Cruelties,2x2,Near Mint,English,,,2025-01-09 22:31:49.903000,251,False,False,
1,1,"Tariel, Reckoner of Souls",2x2,Near Mint,English,,,2025-04-21 01:44:36.493000,281,False,False,
