Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Daggerback Basilisk,bbd,Near Mint,English,,,2025-03-07 22:05:32.433000,194,False,False,
1,1,Hand of Silumgar,bbd,Near Mint,English,,,2025-03-07 22:13:19.280000,146,False,False,
1,1,Inner Demon,bbd,Near Mint,English,,,2025-01-08 21:49:55.733000,48,False,False,0.18
1,1,Mindblade Render,bbd,Near Mint,English,,,2025-01-08 21:49:55.733000,49,False,False,0.63
1,1,Saddleback Lagac,bbd,Near Mint,English,,,2025-03-07 22:09:21.787000,211,False,False,
1,1,Stone Golem,bbd,Near Mint,English,,,2025-03-07 22:01:52.443000,247,False,False,
1,1,Tyrant's Machine,bbd,Near Mint,English,,,2025-03-07 22:04:44.810000,248,False,False,
