Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Flame Discharge,neo,Near Mint,English,,,2025-03-07 19:41:06.833000,142,False,False,
1,1,"Heiko Yamazaki, the General",neo,Near Mint,English,,,2025-03-07 19:40:27.657000,321,False,False,
2,2,High-Speed Hoverbike,neo,Near Mint,English,,,2025-03-05 01:16:25.777000,247,False,False,
1,1,Invoke Despair,neo,Near Mint,English,,,2025-02-21 02:19:19.803000,455,False,False,
1,1,"Isshin, Two Heavens as One",neo,Near Mint,English,,,2025-02-22 22:36:31.433000,328,False,False,
