Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Ancestral Blade,cmm,Near Mint,English,,,2025-01-08 21:49:55.733000,12,False,False,0.03
1,1,"Avacyn, Angel of Hope",cmm,Near Mint,English,,,2025-04-21 01:43:22.327000,14,False,False,
1,1,Demonlord Belzenlok,cmm,Near Mint,English,,,2025-01-08 21:49:55.733000,151,False,False,0.42
1,1,Demon's Disciple,cmm,Near Mint,English,,,2025-01-08 21:49:55.733000,149,False,False,0.16
1,1,Flawless Maneuver,cmm,Near Mint,English,,,2025-04-21 01:44:47.747000,24,False,False,
1,1,"Gisela, Blade of Goldnight",cmm,Near Mint,English,,,2025-01-08 21:49:55.733000,338,False,False,1.54
1,1,Urza's Ruinous Blast,cmm,Near Mint,English,,,2025-02-21 02:35:41.203000,842,False,False,
