Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Bitterbow Sharpshooters,hou,Near Mint,English,,,2025-03-06 21:03:24.943000,112,False,False,
2,2,Bloodwater Entity,hou,Near Mint,English,,,2025-03-06 21:59:20.977000,138,False,False,
1,1,Carrion Screecher,hou,Near Mint,English,,,2025-03-04 23:18:11.160000,61,False,False,
1,1,Lethal Sting,hou,Near Mint,English,,,2025-03-07 22:26:39.620000,67,False,False,
1,1,"Razaketh, the Foulblooded",hou,Near Mint,English,,,2025-01-13 18:26:51.357000,73,False,False,
1,1,Razaketh's Rite,hou,Near Mint,English,,,2025-01-08 21:49:55.733000,74,False,False,0.29
1,1,Razaketh's Rite,hou,Near Mint,English,,,2025-01-08 21:49:55.733000,74,False,False,0.29
1,1,Ruin Rat,hou,Near Mint,English,,,2025-03-06 21:03:39.207000,75,False,False,
