Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Baron Bertram Graywater,otj,Near Mint,English,,,2025-03-02 19:30:18.973000,195,False,False,
1,1,Concealed Courtyard,otj,Near Mint,English,,,2025-04-30 17:30:36.073000,268,False,False,
1,1,Insatiable Avarice,otj,Near Mint,English,foil,,2025-01-22 16:34:47.593000,91,False,False,
1,1,"Rakdos, the Muscle",otj,Near Mint,English,,,2025-03-02 19:30:02.533000,226,False,False,
1,1,Ruthless Lawbringer,otj,Near Mint,English,,,2025-03-02 19:30:43.960000,229,False,False,
