Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Crackling Doom,ktk,Near Mint,English,,,2025-01-08 21:49:55.733000,171,False,False,0.28
1,1,Mardu Ascendancy,ktk,Near Mint,English,,,2025-01-08 21:49:55.733000,185,False,False,0.43
1,1,Mardu Banner,ktk,Near Mint,English,,,2025-01-08 21:49:55.733000,224,False,False,0.11
2,2,Mardu Banner,ktk,Near Mint,English,,,2025-03-06 20:29:17.733000,224,False,False,
1,1,Mardu Charm,ktk,Near Mint,English,,,2025-01-25 18:32:11.200000,186,False,False,
1,1,Nomad Outpost,ktk,Near Mint,English,,,2025-03-15 16:06:54.620000,237,False,False,
1,1,Temur Charger,ktk,Near Mint,English,,,2025-03-07 19:44:23.070000,153,False,False,
