Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Despark,moc,Near Mint,English,,,2025-01-08 21:49:55.733000,322,False,False,0.47
1,1,Elenda and Azor,moc,Near Mint,English,foil,,2025-01-12 06:13:51.393000,6,False,False,0.26
1,1,Firemane Commando,moc,Near Mint,English,,,2025-01-12 06:16:17.923000,81,False,False,
1,1,Goldmire Bridge,moc,Near Mint,English,,,2025-01-08 21:49:55.733000,407,False,False,0.15
1,1,Knights' Charge,moc,Near Mint,English,,,2025-01-08 21:49:55.733000,333,False,False,0.25
1,1,Massacre Wurm,moc,Near Mint,English,,,2025-02-04 20:07:52.123000,256,False,False,
1,1,Orzhov Locket,moc,Near Mint,English,,,2025-01-08 21:49:55.733000,368,False,False,0.11
1,1,Sidar Jabari of Zhalfir,moc,Near Mint,English,,,2025-01-08 21:49:55.733000,5,False,False,0.37
