Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Bar the Gate,afr,Near Mint,English,,,2025-03-07 22:30:01.440000,47,False,False,
1,1,Dungeon Map,afr,Near Mint,English,,,2025-03-06 21:43:05.870000,242,False,False,
1,1,Krydle of Baldur's Gate,afr,Near Mint,English,,,2025-03-07 22:30:31.430000,226,False,False,
1,1,Mimic,afr,Near Mint,English,,,2025-03-06 21:43:40.440000,249,False,False,
1,1,"Orcus, Prince of Undeath",afr,Near Mint,English,,,2025-01-08 21:49:55.733000,229,False,False,0.25
1,1,Reaper's Talisman,afr,Near Mint,English,,,2025-02-03 18:08:45.560000,117,False,False,
1,1,Warlock Class,afr,Near Mint,English,foil,,2025-01-08 21:49:55.733000,125,False,False,0.31
1,1,Wizard Class,afr,Near Mint,English,,,2025-01-08 21:49:55.733000,81,False,False,2.27
