Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Akroma's Vengeance,c18,Near Mint,English,,,2025-01-08 21:49:55.733000,62,False,False,0.37
1,1,Enchanter's Bane,c18,Near Mint,English,,,2025-01-11 02:53:50.660000,21,False,False,
1,1,Loyal Drake,c18,Near Mint,English,,,2025-01-08 21:49:55.733000,10,False,False,0.54
2,2,Utter End,c18,Near Mint,English,,,2025-01-12 06:48:05.160000,193,False,False,0.24
1,1,"Varina, Lich Queen",c18,Near Mint,English,foil,,2025-01-08 21:49:55.733000,48,False,False,0.27
