Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Anowon, the Ruin Sage",c17,Near Mint,English,,,2025-03-15 16:08:00.600000,96,False,False,
1,1,"Drana, Kalastria Bloodchief",c17,Near Mint,English,,,2025-03-12 21:46:50.257000,112,False,False,
1,1,"Licia, Sanguine Tribune",c17,Near Mint,English,foil,,2025-07-05 00:35:44.463000,40,False,False,
1,1,Necromantic Selection,c17,Near Mint,English,,,2025-02-21 02:14:12.327000,117,False,False,
1,1,Rakish Heir,c17,Near Mint,English,,,2025-03-15 16:06:30.497000,140,False,False,
1,1,Stromkirk Captain,c17,Near Mint,English,,,2025-01-08 21:49:55.733000,197,False,False,0.33
